ISO_A3,Country or region,"Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","Access to electricity
(% of rural population), 2016"
LIE,Liechtenstein,"165,028",3.17,3.25,0.13,3.15,100.0
LKA,Sri Lanka,"4,102",5.28,4.21,0.10,1.43,94.6
LSO,Lesotho,"1,324",5.54,5.13,0.08,1.17,15.7
LTU,Lithuania,"19,090",2.82,2.87,0.12,7.69,100.0
LUX,Luxembourg,"114,340",3.02,2.95,0.12,4.39,100.0
LVA,Latvia,"18,089",2.77,2.85,0.13,8.80,100.0
MAC,"Macau, SAR","86,355",4.09,3.40,0.10,1.57,100
MAR,Morocco,"3,238",5.56,5.01,0.09,1.31,100.0
MDA,Moldova,"3,189",3.55,3.45,0.12,3.52,100.0
MDG,Madagascar,461,5.63,4.76,0.09,1.31,17.3
MDV,Maldives,"10,224",5.59,4.44,0.10,1.34,100.0
MEX,Mexico,"9,698",5.73,4.92,0.09,1.33,100.0
MHL,Marshall Islands,"3,621",5.37,4.24,0.10,1.20,89.1
MKD,North Macedonia,"6,084",4.05,3.88,0.11,2.47,100.0
MLI,Mali,901,6.02,4.68,0.09,1.24,1.8
MLT,Malta,"30,075",5.01,4.56,0.09,2.03,100.0
MMR,Myanmar,"1,326",4.69,4.14,0.10,1.83,39.8
MNE,Montenegro,"8,761",3.86,3.82,0.11,2.32,100.0
MNG,Mongolia,"4,104",4.32,4.76,0.09,1.86,44.2
MNP,Northern Mariana Islands (U.S.),"28,164",5.56,4.65,0.09,1.32,100.0
MOZ,Mozambique,490,5.38,4.44,0.10,1.23,5.0
MRT,Mauritania,"1,219",6.04,4.75,0.09,1.20,2.3
MUS,Mauritius,"11,239",5.01,4.21,0.10,1.36,100.0
MWI,Malawi,389,5.59,4.60,0.09,1.38,4.0
MYS,Malaysia,"11,239",4.71,3.74,0.11,1.32,100.0
NAM,Namibia,"5,931",6.40,5.38,0.08,1.17,28.7
NCL,New Caledonia (Fr.),"35,651",4.57,3.98,0.11,1.37,100.0
NER,Niger,412,6.26,4.84,0.09,1.24,4.7
NGA,Nigeria,"2,028",5.44,4.30,0.10,1.40,41.1
NIC,Nicaragua,"2,029",5.04,4.11,0.10,1.36,56.6
NLD,Netherlands,"53,024",2.86,2.86,0.12,4.33,100.0
NOR,Norway,"81,807",2.58,2.76,0.13,14.97,100.0
NPL,Nepal,"1,026",4.53,4.00,0.11,1.59,85.2
NRU,Nauru,"9,030",5.88,4.65,0.09,1.18,100
NZL,New Zealand,"41,966",3.54,3.68,0.10,1.84,100.0
OMN,Oman,"16,419",6.28,5.17,0.08,1.34,100.0
PAK,Pakistan,"1,473",5.34,4.71,0.09,1.37,98.8
PAN,Panama,"15,575",4.74,3.97,0.11,1.42,81.3
PER,Peru,"6,947",5.15,4.90,0.09,1.36,75.6
PHL,Philippines,"3,103",4.73,3.93,0.11,1.49,86.3
PLW,Palau,"17,318",4.98,4.01,0.11,1.30,97.2
PNG,Papua New Guinea,"2,723",4.48,3.69,0.12,1.36,15.5
POL,Poland,"15,424",2.98,2.98,0.12,4.90,100.0
PRI,Puerto Rico (U.S.),"31,651",5.27,4.40,0.10,1.18,100.0
PRK,D. P. R. of Korea,590,3.86,3.92,0.11,1.46,39.2
PRT,Portugal,"23,146",4.57,4.32,0.08,2.07,100.0
PRY,Paraguay,"5,871",5.08,4.28,0.10,1.45,96.1
PSE,West Bank and Gaza,"3,199",5.61,4.93,0.09,1.63,100.0
PYF,French Polynesia (Fr.),"18,984.85",5.26,4.39,0.07,1.24,100.0
QAT,Qatar,"69,026",5.90,4.92,0.09,1.23,100.0
ROU,Romania,"12,301",3.57,3.52,0.12,3.07,100.0
RUS,Russian Federation,"11,289",3.12,3.36,0.23,6.70,100.0
RWA,Rwanda,773,5.08,4.10,0.10,1.22,17.8
SAU,Saudi Arabia,"23,219",6.21,5.16,0.09,1.21,100.0
SDN,Sudan,977,6.32,4.94,0.09,1.42,22.2
SEN,Senegal,"1,522",5.80,4.58,0.09,1.28,38.3
SGP,Singapore,"64,582",4.49,3.55,0.12,1.26,100
SLB,Solomon Islands,"2,163",4.40,3.69,0.12,1.28,41.5
SLE,Sierra Leone,523,5.12,4.09,0.10,1.46,2.5
SLV,El Salvador,"4,058",5.92,4.83,0.09,1.33,98.8
SMR,San Marino,"48,495",3.93,3.76,0.10,2.60,100.0
SOM,Somalia,315,6.03,4.76,0.09,1.50,11.6
SRB,Serbia,"7,234",3.68,3.52,0.12,2.99,100.0
SSD,South Sudan,283,5.68,4.46,0.10,1.40,5.9
STP,São Tomé and Príncipe,"2,001",4.30,3.47,0.12,1.36,51.1
SUR,Suriname,"5,950",5.38,4.27,0.10,1.33,69.3
SVK,Slovakia,"19,547",3.25,3.27,0.11,3.57,100.0
SVN,Slovenia,"26,234",3.45,3.43,0.10,2.87,100.0
SWE,Sweden,"54,112",2.69,2.84,0.13,7.85,100.0
SWZ,Eswatini,"4,140",4.85,4.32,0.10,1.16,61.2
SXM,Sint Maarten (Neth.),"39,432.64",5.84,4.87,0.08,1.21,100
SYC,Seychelles,"16,434",5.63,4.35,0.10,1.22,100.0
SYR,Syrian Arab Republic,421.12,5.45,4.85,0.09,1.77,100.0
TCA,Turks and Caicos Islands (U.K.),"27,142",5.60,4.72,0.09,1.23,42.7
TCD,Chad,730,6.26,4.84,0.09,1.38,2.2
TGO,Togo,672,5.22,4.12,0.10,1.41,19.4
THA,Thailand,"7,274",4.93,4.06,0.10,1.48,100.0
TJK,Tajikistan,827,4.51,4.34,0.10,2.46,100.0
TKM,Turkmenistan,"6,967",4.72,4.37,0.10,2.09,100.0
TLS,Timor-Leste,"2,036",5.32,4.34,0.10,1.54,49.2
TON,Tonga,"4,364",4.80,4.01,0.11,1.43,96.6
TTO,Trinidad and Tobago,"16,844",5.38,4.35,0.10,1.19,100.0
TUN,Tunisia,"3,447",5.30,4.74,0.09,1.48,100.0
TUR,Turkey,"9,311",4.60,4.32,0.08,2.41,100.0
TUV,Tuvalu,"3,701",5.34,4.27,0.10,1.23,98.5
TZA,Tanzania,"1,051",5.66,4.51,0.09,1.31,16.9
UGA,Uganda,643,5.64,4.46,0.10,1.24,18.0
UKR,Ukraine,"3,095",3.35,3.30,0.13,4.55,100.0
URY,Uruguay,"17,278",4.79,4.30,0.10,1.65,100.0
USA,United States of America,"62,641",4.50,4.36,0.10,1.88,100.0
UZB,Uzbekistan,"1,532",4.51,4.27,0.10,2.48,100.0
VCT,Saint Vincent and the Grenadines,"7,378",5.19,4.27,0.10,1.24,100.0
VEN,R. B. de Venezuela,"3,867",5.35,4.35,0.10,1.26,96.4
VGB,British Virgin Islands (U.K.),"34,200",5.76,4.85,0.09,1.22,100
VIR,United States Virgin Islands (U.S.),"35,938",5.69,4.75,0.08,1.21,100.0
VNM,Vietnam,"2,564",4.25,3.55,0.12,1.74,100.0
VUT,Vanuatu,"3,033",4.30,3.53,0.12,1.46,46.4
WSM,Samoa,"4,392",4.78,4.05,0.11,1.25,100.0
XKO,Kosovo,"4,281",3.85,3.70,0.12,2.70,100
YEM,Republic of Yemen,944,6.47,5.21,0.08,1.41,57.7
ZAF,South Africa,"6,374",5.63,5.00,0.11,1.23,67.9
ZMB,Zambia,"1,540",5.88,4.83,0.09,1.39,2.7
ZWE,Zimbabwe,"2,147",5.78,4.86,0.09,1.27,15.6
